FEEDERID,เปลือย,หุ้ม,Ratio
NVB03,41.29610388,1594.64941,0.025896666
NVB04,69.68008725,3095.369318,0.022511074
NVB05,82.62969505,2182.880435,0.037853514
NVB06,28.708512,1818.639224,0.01578571
NVB07,84.62344895,926.5644307,0.091330345
NVB08,57.02331061,1611.162759,0.035392644
NVB09,95.87087534,2435.235695,0.039368212
NVB10,14.35770131,2101.446075,0.006832296
NVC01,28.74252091,1532.653701,0.018753435
NVC02,21.66359337,5620.914867,0.003854105
NVC03,17.67451413,1415.817609,0.012483609
NVC04,137.6977136,3471.176877,0.039668884
NVC05,45.20372571,4862.851354,0.009295724
NVC06,0,92.72697504,0
NVC07,0,365.3206334,0
NVC08,16.84301189,1470.701885,0.011452363
NVC09,85.13321438,2960.286767,0.028758435
NVC10,3.615717309,2799.307081,0.001291647
NVD01,0,74.11305124,0
NVD02,8.859763791,3542.339886,0.002501105
NVD03,27.41575664,3376.029236,0.008120711
NVD04,798.4807132,5260.127291,0.151798743
NVD05,1473.555273,7375.338544,0.199794933
NVD06,0,159.778745,0
NVD07,157.2046881,17702.96607,0.008880133
NVD08,39.69751085,3085.95054,0.012863949
NVD09,2573.793896,9445.262693,0.272495745
NVD10,0,4608.497767,0
NYA01,19092.19192,36634.23251,0.521157142
NYA02,7768.130212,22605.33289,0.343641487
NYA03,14892.83333,1560.884021,9.541281179
NYA04,7842.829868,5378.373976,1.458215792
NYA05,4958.699589,17542.50054,0.282667775
NYA06,27755.17649,53942.13179,0.514536144
NYA07,68137.51801,72980.88692,0.933635105
NYA08,10892.99432,19541.80621,0.557420036
NYA09,17705.3296,14116.78648,1.254203966
NYA10,36511.04495,40190.6208,0.908446902
NYB01,20760.79516,41855.96265,0.496005679
NYB02,51707.74186,71028.50083,0.727985826
NYB03,40579.63351,43626.55996,0.930158911
NYB04,6318.960005,8349.955666,0.756765695
NYB05,211847.586,82821.47352,2.557882358
NYB06,20474.24747,19168.87379,1.068098611
NYB07,20294.85915,68944.25077,0.29436623
NYB08,14411.37244,8855.939958,1.627311444
NYB09,9238.548963,13900.04355,0.664641728
NYB10,10732.33269,16219.68467,0.661685656
OKA01,131387.3428,67038.20016,1.959887683
OKA02,64978.48738,41020.27386,1.584057864
OKA03,16880.50669,50227.5958,0.336080324
OKA04,24462.01833,35316.13551,0.692658412
OKA05,67664.2441,49466.66414,1.367875625
OKA06,0,3003.210209,0
OKA07,0,241.8820153,0
OKA08,76411.82916,62191.40033,1.228655871
OKA09,36935.52738,59249.97156,0.623384728
OKA10,0,217.3927689,0
PAA01,27850.01805,68619.06443,0.405864147
PAA02,0,80.97348954,0
PAA03,6817.830902,41986.55027,0.162381307
PAA04,2070.69594,39822.32922,0.051998363
PAA05,14667.40827,38404.96344,0.381914392
PAA06,32726.84626,50037.20768,0.654050211
PAA07,125548.2219,72818.79758,1.724118305
PAA08,21289.96965,47216.01374,0.450905698
PAA09,28362.43159,10128.94761,2.800136075
PAA10,25328.72598,44281.58173,0.57199235
PAB01,1717.123786,11334.04424,0.151501419
PAB02,15668.74234,19505.41313,0.803302254
PAB03,23656.0415,29544.21373,0.800699647
PAB04,5049.78869,39933.74347,0.126454178
PAB05,2898.416665,28531.21076,0.10158758
PAB06,16285.96363,13740.96479,1.185212529
PCB01,3759.43019,33397.4025,0.112566544
PCB05,14878.68204,43049.02918,0.345621779
PCK01,34814.26498,32656.48772,1.066074995
PCK02,15.35196125,8366.323619,0.001834971
PCK03,4.177424475,123.9787537,0.03369468
PCK04,15668.05608,40100.1263,0.39072336
PCK05,68136.13379,52059.26025,1.308818709
PCK06,0,148.9898656,0
PCK07,10578.06416,17297.53118,0.611536066
PCK08,0,151.9110697,0
PCK09,51857.24735,40972.22217,1.265668412
PCK10,25943.66064,18935.81052,1.370084508
PHA02,104977.1453,24537.04945,4.278311682
PHA08,43561.68279,18307.13996,2.379491438
PJA01,15345.94755,16093.02224,0.953577726
PJA02,47910.4109,36833.25343,1.300737959
PJA03,70886.80595,17748.79475,3.993894061
PJA04,19712.9061,24981.10123,0.789112774
PJA05,28245.06918,20082.74701,1.406434546
PJA06,31.19365349,9734.726311,0.003204369
PJA07,2702.102755,16945.91144,0.159454554
PJA08,4505.078127,15140.01571,0.297560994
PJB01,2749.115392,8586.315893,0.320174033
PJB02,2489.220049,9040.337043,0.275345934
PJB03,5095.011278,28536.36413,0.178544514
PJB04,3070.871866,31117.00251,0.098687908
PJB05,18816.03587,40277.44483,0.467160614
PJB06,27.2548707,5091.082085,0.005353453
PJB07,2569.416397,9593.705514,0.267823146
PJB08,9134.016582,20171.10894,0.452826694
PJB09,1945.897832,8319.547791,0.233894664
PJB10,0,3827.420934,0
PKE01,162.3854272,2981.802247,0.054458818
PKE02,9398.638164,22759.1867,0.412960194
PKE03,0,224.6577767,0
PKE04,11876.43224,22237.00286,0.534084216
PKE05,5308.026221,22810.98108,0.232696095
PKE06,0,897.1552665,0
PKE07,0,152.1209704,0
PKE08,6764.466067,18638.69864,0.362925878
PKE09,19759.92692,33293.5294,0.593506524
PKE10,4302.387845,12592.24945,0.341669522
POU03,192180.8871,92962.75903,2.067288978
PQA01,0,1149.192488,0
PQA02,10379.08447,31933.13541,0.325025537
PQA03,21.65965489,5446.242312,0.003976991
PQA04,2534.361215,20447.91103,0.123942305
PQA05,2060.448096,12525.90517,0.164494946
PQA06,27042.70474,62912.62797,0.429845416
PQA07,0,4703.960619,0
PQA08,4116.955035,3167.405761,1.299787696
PQA09,32.81589013,22947.36331,0.001430051
PQA10,10091.97508,35531.76239,0.284026865
PQB01,3055.124742,49430.55158,0.061806406
PQB02,563.1864751,13167.24578,0.042771775
PQB03,3738.921028,29850.97095,0.125252912
PQB04,117.506928,1305.74623,0.089992163
PQB05,1.641756681,4638.323298,0.000353955
PQB06,399.9341359,8497.592838,0.047064403
PQB07,118.7400177,2828.921039,0.041973606
PQB08,0,2339.080645,0
PQB09,403.8153235,7398.662545,0.054579503
PQB10,923.0714449,43608.55656,0.021167209
PQC01,396.8462031,9251.864307,0.042893647
PQC02,5721.655242,20833.96625,0.274631108
PQC03,1207.668297,7430.596102,0.162526435
PQC04,13.01536526,5488.598986,0.002371346
PQC05,622.0507426,5597.196449,0.111136128
PQC06,1206.216774,25890.51663,0.046589135
PQC07,532.9885563,16412.41395,0.032474721
PQC08,40.01130426,3387.73997,0.011810618
PQC09,156.6471639,5306.002025,0.029522636
PQC10,47.17602914,4898.148637,0.0096314
PQD01,1845.336242,10120.74292,0.182332093
PQD02,121.9606724,9745.751096,0.01251424
PQD03,0,103.9999629,0
PQD04,667.1111368,28283.762,0.023586365
PQD05,3175.090289,36510.12533,0.08696465
PQD06,216.3666807,17414.25732,0.012424686
PQD07,2203.692376,28368.46794,0.07768105
PQD08,0,54.94711946,0
PQD09,217.341833,22867.39337,0.009504443
PQD10,7039.146535,40129.03846,0.175412788
PRI06,29543.99833,33894.66646,0.871641512
PRI07,10097.19561,2891.368377,3.492185807
PXA07,65797.79011,46238.42614,1.423011024
RCN01,278.863628,8713.077114,0.032005183
RCN02,175.8131239,2728.653076,0.064432201
RCN03,0,5163.611403,0
RCN04,34.50628653,9106.601961,0.003789151
RCN05,7.898349833,6927.856873,0.001140086
RCN06,351.1505018,2060.835483,0.170392302
RCN07,2109.856165,5114.872861,0.412494352
RCN08,1524.024735,6180.534106,0.246584633
RCN09,68.61665659,1441.829717,0.047589986
RCN10,1778.369178,4892.300493,0.363503669
RCO01,5938.654841,6969.946367,0.85203738
RCO02,5750.368434,33069.84571,0.173885554
RCO03,35544.74107,24929.81228,1.425792568
RCO04,3922.265735,19543.27632,0.200696427
RCO05,2476.472249,6298.81209,0.393164967
RCO06,17764.88199,22909.77379,0.775428084
RCO07,8402.009562,30311.61514,0.277187788
RCO08,0,248.2286882,0
RCO09,0,3958.068418,0
RCO10,1548.800762,23095.92631,0.067059478
RCQ01,0,38.02765985,0
RCQ02,3.197641282,6529.755968,0.000489703
RCQ03,15.67300922,5652.647938,0.002772684
RCQ04,0,64.76552378,0
RCQ05,0,5613.690251,0
RCQ06,0,47.31125388,0
RCQ07,0,70.59405704,0
RCQ08,0,1721.82968,0
RCQ09,0,91.89309171,0
RCQ10,0,98.05660934,0
RCR01,15844.60539,44167.89546,0.358735802
RCR02,0,85.33862769,0
RCR03,0,70.55126769,0
RCR04,0,96.90013157,0
RCR05,20.78675579,1298.506407,0.016008204
RCR06,0,148.3462987,0
RCR08,0,154.3019115,0
RCR09,0,120.3388167,0
RCR10,0,125.225301,0
RCS01,0,190.0875471,0
RCS02,0,44.5590077,0
RCS03,0,216.8627358,0
RCS04,0,89.24701741,0
RCS05,0,197.3087233,0
RCS06,0,217.9855679,0
RCS07,0,63.99430394,0
RCS08,0,73.67279866,0
RCS09,0,90.78716041,0
RCS10,0,209.0493643,0
RGA01,224.7181868,1170.567982,0.191973632
RGA02,1768.413783,19888.42469,0.088916735
RGA03,0,1767.87644,0
RGA04,2358.61464,14812.75174,0.159228662
RGA05,833.0597358,12687.82242,0.065658212
RGA06,270.090704,4668.198136,0.057857592
RGA07,701.2735917,5318.384213,0.131858392
RGA08,71.49786481,5118.605684,0.013968231
RGA09,1518.768984,5849.455898,0.259642779
RGA10,0,321.3091113,0
RGU01,0,8.330226225,0
RGU02,0,12.29956352,0
RGU03,2715.236558,4672.837493,0.581068047
RGU04,7049.557176,32161.33174,0.219193572
RGU05,280.6419383,16567.59323,0.01693921
RSA01,2820.092743,5067.714651,0.55648215
RSA02,982.5587868,4690.813398,0.209464479
RSA03,0,3921.478507,0
RSA04,6397.070032,29815.63357,0.214554221
RSA05,3620.914115,28467.3658,0.127195264
RSA06,3698.939266,17524.43632,0.211073224
RSA07,5029.266554,14905.14489,0.337418159
RSA08,3734.989656,15563.86749,0.239978248
RSA09,1617.787946,16528.18294,0.097880569
RSA10,2243.331829,16547.70828,0.135567523
